,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US36,36,New York,8710000US3610153,3610153,New York - ZCTA 10153,ZCTA 10153,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610154,3610154,New York - ZCTA 10154,ZCTA 10154,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610167,3610167,New York - ZCTA 10167,ZCTA 10167,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610168,3610168,New York - ZCTA 10168,ZCTA 10168,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610169,3610169,New York - ZCTA 10169,ZCTA 10169,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610171,3610171,New York - ZCTA 10171,ZCTA 10171,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610172,3610172,New York - ZCTA 10172,ZCTA 10172,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610173,3610173,New York - ZCTA 10173,ZCTA 10173,,,,,,,,$(X),$(X)
0400000US36,36,New York,8710000US3610174,3610174,New York - ZCTA 10174,ZCTA 10174,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610177,3610177,New York - ZCTA 10177,ZCTA 10177,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610271,3610271,New York - ZCTA 10271,ZCTA 10271,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610278,3610278,New York - ZCTA 10278,ZCTA 10278,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610279,3610279,New York - ZCTA 10279,ZCTA 10279,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610311,3610311,New York - ZCTA 10311,ZCTA 10311,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611351,3611351,New York - ZCTA 11351,ZCTA 11351,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611359,3611359,New York - ZCTA 11359,ZCTA 11359,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611371,3611371,New York - ZCTA 11371,ZCTA 11371,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611424,3611424,New York - ZCTA 11424,ZCTA 11424,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611425,3611425,New York - ZCTA 11425,ZCTA 11425,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611451,3611451,New York - ZCTA 11451,ZCTA 11451,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3611556,3611556,New York - ZCTA 11556,ZCTA 11556,,,,,,,,$(X),$(X)
0400000US36,36,New York,8710000US3611973,3611973,New York - ZCTA 11973,ZCTA 11973,,,,,,,,$(X),$(X)
0400000US36,36,New York,8710000US3613290,3613290,New York - ZCTA 13290,ZCTA 13290,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US37,37,North Carolina,8710000US3728244,3728244,North Carolina - ZCTA 28244,ZCTA 28244,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US37,37,North Carolina,8710000US3728282,3728282,North Carolina - ZCTA 28282,ZCTA 28282,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US38,38,North Dakota,8710000US3858702,3858702,North Dakota - ZCTA 58702,ZCTA 58702,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US40,40,Oklahoma,8710000US4073019,4073019,Oklahoma - ZCTA 73019,ZCTA 73019,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
